,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
13203,163298,shore parkway,2018-07-25 00:00:00,2018-07-30 23:59:59,B
13204,51549,88 street,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
13205,51549,88 street,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
13206,22521,carroll street,2018-07-16 00:00:00,2018-07-20 23:59:59,B
13207,22709,hoyt street,2018-07-17 00:00:00,2018-07-20 23:59:59,B
13208,32539,jersey street,2018-04-27 00:00:00,2018-05-27 23:58:59,M
13209,22711,hoyt street,2018-07-17 00:00:00,2018-07-20 23:59:59,B
13210,22713,hoyt street,2018-07-17 00:00:00,2018-07-20 23:59:59,B
13211,22819,dean street,2018-07-13 00:00:00,2018-07-20 23:59:59,B
13212,32638,west 18 street,2018-05-19 00:00:00,2018-05-28 23:58:59,M
13213,3261,poillon avenue,2018-04-19 00:00:00,2018-05-28 23:59:59,S
13214,76365,35 avenue,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
13215,22821,dean street,2018-07-13 00:00:00,2018-07-20 23:59:59,B
13216,72763,broadway,2018-08-02 00:00:00,2018-08-17 23:59:59,M
13217,47579,liberty avenue,2018-05-02 00:00:00,2018-05-09 23:59:59,B
13218,72927,west 218 street,2018-07-27 00:00:00,2018-08-03 23:59:59,M
13219,73014,west 218 street,2018-07-27 00:00:00,2018-08-03 23:59:59,M
13220,164252,mott street,2018-06-02 00:00:00,2018-06-10 23:58:59,M
13221,4598,west service road,2018-04-19 07:23:41,2018-05-19 23:58:59,S
13222,164252,mott street,2018-06-02 00:00:00,2018-06-10 23:58:59,M
13223,16180,castleton avenue,2018-07-10 00:00:00,2018-10-08 23:58:59,S
13224,23850,college place,2018-07-16 00:00:00,2018-07-20 23:59:59,B
13225,163880,vanderbilt avenue,2018-07-09 00:00:00,2018-07-13 23:59:59,B
13226,9009709,montieth street,2018-04-10 00:00:00,2018-05-11 23:58:59,B
13227,163881,vanderbilt avenue,2018-07-09 00:00:00,2018-07-13 23:59:59,B
13228,9009709,montieth street,2018-04-10 00:00:00,2018-05-11 23:58:59,B
13229,163882,vanderbilt avenue,2018-07-09 00:00:00,2018-07-13 23:59:59,B
13230,16176,corson avenue,2018-07-05 09:23:02,2018-07-31 23:59:59,S
13231,16195,bismark avenue,2018-06-28 09:10:47,2018-07-31 23:59:59,S
13232,3329,rye avenue,2018-06-08 07:04:00,2018-06-29 23:59:59,S
13233,177995,unionport road,2018-04-11 00:00:00,2018-07-10 23:58:59,X
13234,16195,bismark avenue,2018-06-11 00:00:00,2018-09-09 23:58:59,S
13235,34802,f d r drive,2018-05-05 00:00:00,2018-05-21 23:58:59,M
13236,34802,f d r drive,2018-05-05 00:00:00,2018-05-21 23:58:59,M
13237,73016,broadway,2018-07-24 09:30:49,2018-08-03 23:59:59,M
13238,73017,broadway,2018-07-24 09:30:51,2018-08-03 23:59:59,M
13239,164079,broadway,2018-07-27 00:00:00,2018-07-30 23:58:59,B
13240,164079,broadway,2018-07-27 00:00:00,2018-07-30 23:58:59,B
13241,47382,hinsdale street,2018-05-04 00:00:00,2018-06-04 23:58:59,B
13242,164252,mott street,2018-06-02 00:00:00,2018-06-10 23:58:59,M
13243,164253,mott street,2018-06-02 00:00:00,2018-06-10 23:58:59,M
13244,47433,liberty avenue,2018-05-15 00:00:00,2018-05-21 23:59:59,B
13245,47439,liberty avenue,2018-05-15 00:00:00,2018-05-21 23:59:59,B
13246,164253,mott street,2018-06-02 00:00:00,2018-06-10 23:58:59,M
13247,164253,mott street,2018-06-02 00:00:00,2018-06-10 23:58:59,M
13248,164079,broadway,2018-07-27 00:00:00,2018-07-30 23:58:59,B
13249,57439,160 street,2018-05-04 00:00:00,2018-05-05 23:58:59,Q
13250,57439,160 street,2018-05-04 00:00:00,2018-05-05 23:58:59,Q
